,2P%,FT%,TRB,AST,STL,PTS,Pos
387,0.489,0.692,99,277,45,899,3.0
388,0.5,0.815,39,117,13,174,3.0
389,0.507,0.759,676,158,83,1749,1.0
390,0.426,0.814,230,65,44,553,5.0
391,0.505,0.593,468,144,44,582,1.0
392,0.446,0.82,363,291,136,1486,3.0
393,0.508,0.784,179,407,126,1431,4.0
394,0.468,0.762,278,86,47,457,2.0
395,0.431,0.808,362,312,57,919,5.0
396,0.542,0.76,320,317,127,798,4.0
397,0.556,0.706,518,346,115,1541,5.0
398,0.454,0.789,545,286,94,1023,2.0
399,0.566,0.871,55,30,20,202,5.0
400,0.499,0.663,358,78,45,808,2.0
401,0.536,0.793,366,341,78,1053,3.0
402,0.541,0.813,435,226,95,1096,2.0
403,0.535,0.67,263,43,36,524,2.0
404,0.466,0.634,234,41,18,298,2.0
405,0.436,0.685,98,241,98,393,3.0
406,0.429,0.75,18,46,24,87,3.0
407,0.438,0.663,80,195,74,306,3.0
408,0.441,0.882,93,59,16,238,5.0
409,0.463,0.694,67,5,6,117,2.0
410,0.509,0.758,441,282,79,567,1.0
411,0.424,0.642,120,45,34,308,5.0
412,0.589,0.703,551,287,72,1771,5.0
413,0.54,0.832,410,157,84,1436,4.0
414,0.529,0.692,232,88,35,335,2.0
415,0.233,0.7,12,9,2,30,4.0
416,0.525,0.706,569,62,36,1024,2.0
417,0.444,0.786,584,399,95,567,1.0
418,0.417,0.783,93,27,12,154,2.0
419,0.411,0.783,90,24,12,148,2.0
420,0.503,0.534,377,27,19,390,2.0
421,0.524,0.751,413,179,73,961,1.0
422,0.482,0.832,134,384,97,642,3.0
423,0.358,0.724,220,362,166,341,3.0
424,0.45,0.717,454,159,34,637,1.0
425,0.464,0.87,197,106,95,1044,4.0
426,0.452,0.738,154,464,83,555,3.0
427,0.485,0.752,575,173,57,999,2.0
428,0.467,0.64,230,163,56,638,4.0
429,0.47,0.642,229,162,55,635,4.0
430,0.541,0.899,132,160,76,663,3.0
431,0.522,0.757,1180,141,83,2222,1.0
432,0.501,0.802,139,411,107,977,3.0
433,0.505,0.767,67,199,46,552,3.0
434,0.497,0.837,72,212,61,425,3.0
435,0.589,0.782,525,219,79,1234,5.0
